pol,text
neutral,Or may be they're not convinced that Yakub was a traitor rather helping the authorities. It's a perception game.  https://t.co/CCHESOU81y	
positive,But really someone come with me tomorrow night to see Paper Towns	
positive,Are you guys ready for Brock Lesnar to return on Monday Night Raw?!?! Too bad I already wore his shirt last Monday. I gotta wash it soon.	
neutral,Don't forget to grab tickets to @FOZZYROCK Nov. Have you seen @IAMJericho in 'Sharknado 3'?! http://t.co/w37N9MmLDa http://t.co/Ib7xBHUEkP	
neutral,For real if Drake's 3rd diss starts out with that Brock Lesnar intro.... shut it down.	
neutral,I am going to see PAPER TOWNS tomorrow. Wanna come with? @igabrielmathis	
positive,Kris Bryant's sac fly brings home Starlin Castro to make it 4-2 #Cubs in the 9th inning! #CubsTalk	
neutral,Security cover of 30000 cops for Yakub burial.  India has no future with such doings: India = 3rd world country  http://t.co/cQM3pgdbar	
positive,I just finished reading Paper Towns last night and 9 is going to a sleepover tomorrow so somehow I talked J into seeing the movie tomorrow	
positive,Well I've started reading Paper Towns. Which is great because I'll have something to talk about in Social Studies tomorrow morning.	
positive,Lol Paul McCartney tomorrow definitely don't believe it still	
positive,Im going to the Kenny Chesney and Jason Aldean Concert this Saturday!! FUCKKK YEAHSSSS	
positive,Can't wait to see Paper Towns tomorrow with @LorraineBunch	
positive,So I get paid tomorrow and I have no work so that means movie catch up day. Southpaw Paper Towns Vacation and Tangerine are coming up.	
neutral,Josh Hamilton just walked off the #Yankees. #BlueJays get 1 game closer to 1st tonight	
positive,#Rangers THE UNBEATABLE ANDREW MILLER...BLOWS UP IN THE 9TH! Josh Hamilton walks it off with a 2 out knock..YANKEES LOSE	
positive,Wooooo Josh Hamilton just made tomorrow nights dinner plans half off @PapaJohns @Rangers walk off single in 7-6 win over @Yankees	
neutral,Andrew Miller blows his 1st save of the yr as Josh Hamilton hits a walk-off single to help the Rangers beat the Yankees 7-6	
positive,Texas is the Walk-Off State tonight. Josh Hamilton just singled in winner in 9th vs Yankees.	
neutral,MLB: Rangers beat the Yankees 7-6 on Josh Hamilton's walk-off single in 9th inning!	
neutral,@ESPNStatsInfo: Another walk-off - this time Josh Hamilton gives the Rangers the win  His 9th career walk-off hit  veee el piedrero	
negative,having Yakub's news on the 1st page by all leading news papers is saddest thing! Shame on you @timesofindia @mataonline  #StopBuyingThem	
positive,@cinemasins @andysignore both of you get started with your Honest trailer and EWW for Ant-man. You have until next Tuesday to do it! :D	
negative,Dear @MotorolaIndia @Motorola  I'm so disappointed with the headphones you give with ur phones Sadly its still the same with Moto G 3rd Gen	
positive,As cool as it would be to see the weekend tomorrow it's impossible to skip out on Paul McCartney	
neutral,Or tomorrow I don't care but I want to watch Ant-Man	
neutral,The Rock waded into Hulk Hogan's ongoing racism controversy Thursday telling reporters he was pretty disappo... http://t.co/uFOl0fxPrT	
negative,@ShekharGupta Media did sympathize with Yakub n help in producing many young Yakubs in India. But you guys claim u r 4th pillar.bloody shame	
neutral,John Kasich cracks top 10 in GOP poll - The initial New Day committee was created April 20 while the other group ... http://t.co/E1GNrRux5H	
positive,Had no plans of seeing Paper Towns but love @Caradelevingne. May look into it.	
neutral,fanwars between Kpop fandoms will always happen kahit anong pigil natin. Pero at the end pag may outsider na nagbash satin sino yung +	
neutral,@IndianExpress If India is they who are you then?  Ys WE hanged Yakub. @tajinderbagga @mediacrooks @FrustIndian  https://t.co/y79ybbDyaO	
neutral,WATCH: Post Game Plus breaks down Thursday's walk-off loss in Arlington as Josh Hamilton beat the Yankees late. http://t.co/NSMPU3mVcM	
neutral,I don't blame Lee though. If I understand it correctly Watchman is basically the messy 1st draft to the masterpiece that is Mockingbird.	
positive,Today I purchase my new smart phone MOTO G 3rd Generation... it is very nice looking and water proof .. http://t.co/OR3NaWXljc	
neutral,Texas #Rangers Josh Hamilton tied the ballgame in the 1st with a three-run home run. #MLB	
neutral,I just spent 7 hours at Dunkin donuts doing chem hw that's due tomorrow and I didn't even finish... It's time to call it night though.	
negative,How ever many girls I see tomorrow at grassroots wearing that nirvana shirt with the X eyes is how many times I'm shooting myself	
neutral,Watchman just informed me about the fact that the sun is shining in case the MET dept needs some cutting edge weather monitoring tech.	
negative,Highly disappointed with @timesofindia : Yakub's last rites on 1st page news whereas Dr.Kalam who was laid to rest at ramehswaram on page 13	
negative,@timesofindia  it was deplorable to say the least of you to dedicate almost 3 pages to Yakub &amp; ironically Mr. Kalam on 5th page. SAD day	
neutral,if you are confident Yakub was innocent  why you not push tiger before 30 july ? http://t.co/fpSKB3Bsjc	
positive,just like the old times.. :D   Brock Lesnar confronts The Undertaker: Raw July 20 2015  https://t.co/cQhKFfFeST	
neutral,Some girl tried to tell me that Paul McCartney was playing the Perry stage tomorrow.  Like what?	
positive,If you want to buy a new phone Go for Moto G (3rd Gen) now to get exciting offers. http://t.co/GtObc0P6Kc #MotoG	
positive,Okay for sure going to go watch Southpaw and Paper Towns tomorrow	
positive,hopes 4 the film version: John Green's Paper Towns http://t.co/5sGsogEgkT looking forward to seeing advancescreening of Paper Towns tomorrow	
neutral,Chuck Norris does the Sunday New York Times Crossword Puzzle in ink.	
positive,might as well go see Ant-Man for the 4th time again since its release..	
positive,Seeing Ant-Man on monday finally. 9pm showing so i'll be useless the next day. And I don't care.	
neutral,Is it fair? Both print as well as TV Media reacts 2 Yakub's coverage it's big picture as 2nd headline 4 Kalam's http://t.co/x06dBPZfiM	
positive,@xee_moonflower on the 11th or as I like to call the day the chosen one was born and by chosen one I mean Hulk Hogan	
neutral,#pulse_ng Sunday Oliseh: Super Eagles coach says he has been approached before http://t.co/yWOcQ3JAkn	
positive,Gonna watch Paper Towns for the second time on Monday	
neutral,Dude @aliahaffandi  Paper Towns tomorrow at 1430. I'll dm you the location. Let me know if you're available or not.	
neutral,Ohio Gov. John Kasich is set to round out the Republican presidential field Tuesday when he formally announces his White House bid.	
neutral,Super Eagles coach Sunday Oliseh has said that he and his assistants would have to inject new philosophy and... http://t.co/OgrfPyVEJt	
neutral,Last words of Yakub  I did a mistake May allah forgive me. did any rascal who stood for him understand what he meant ?	
positive,Hey happy Friday!!! Today T&amp;P will be giving away a pair of tickets to the Zac Brown Band's August 7th show at... http://t.co/Pp0A4fQyor	
negative,LOL Too clever by half! Your daddy was disappointed over Yakub's hanging &amp; he was a dreaded terrorist! Get it?  https://t.co/9hMx66BwmJ	
negative,@tathagata2 you are right  Yakub's mourners may be the supporters of terrorism  they should be under scaner.	
positive,srsly tho there has never ever been a pic in Kpop that made same impact on me - 1st time seeing it - as this cover http://t.co/Gi7OQyWo6F	
neutral,Jason Aldean to get this Friday going	
positive,Sat on the beach blasting out Calibraska #Dope	
positive,It's Friday! Finally seeing Paper Towns tonight! It's going to be a good day! #wallofcow	
neutral,Started my Friday off right with Dunkin	
neutral,does anybody want 2 tickets to go see Zac Brown Band on August 15? 100$ for the both of them. DM me or Jimmy if you're interested!!	
neutral,#qctimes Jerry Kill opens up Friday's session at the B1G kickoff in 15 much like Paul McCartney opens Lollapalooza tonight down the street.	
neutral,Once upon a time I was an anonymous blogger who made a blog inspired by Paper Towns quotations (but deleted it bec may pakielamero badtrip)	
neutral,Paul McCartney will perform @ Lollapalooza in Grant Park in Chicago starting today through Sunday. With the GOP... http://t.co/EPMFicmcRu	
positive,Jason Aldean concert while working from home I'd say it's a good Friday! #JasonAldeanTODAY	
positive,Loving Friday with Jason Aldean on Today! #JasonAldeanTODAY	
positive,I want to see Brock Lesnar F-5 David Cameron this November. Whaddaya think @HeymanHustle?	
neutral,Nigerian Troops have discovered Boko Haram terrorists supply routes: Nigerian troops on Wednesday said it has ... http://t.co/cuNI8nmoua	
neutral,Sheamus explains why he will take down Randy Orton: SmackDown July 30 ... https://t.co/oZ3qPK7owr via @YouTube haha	
positive,I'm going to watching Mission Impossible: Rogue Nation and Paper Towns tomorrow. #stokedAF	
neutral,@ZeeMohamed93 @brownbrumby the point is selective justice ha made ppl sceptical of judiciary. They may genuinely feel Yakub was innocent	
positive,@RondaRousey set of skills. Skills that may make me a pleasure for a woman like you. I won't go Floyd Mayweather on you but I will fornicate	
neutral,All film critic beware: Peter Travers of Rolling Stone is losing his staff position in the mag. Are we still needed? http://t.co/5qPu5kkqxr	
positive,@Marvel's Ant-Man is in cinemas this weekend and we have goodies to giveaway. See @WitnessKZN tomorrow (August 1) for all the deets	
positive,Anyway I'm going to the theaters tomorrow to watch Ant-man! I'm really excited. ;o;)b	
negative,Not happy that I'm working through the advance screening tomorrow so still have to wait OVER TWO WEEKS to see Paper Towns #wallofcow	
neutral,B4 d hood was placed on Yakub's face he insisted that he wanted 2 c d rising sun which he was not allowed.	
neutral,If anyone is interested in 2 Kenny Chesney tickets tomorrow with Kenny Chesney Jason Aldean Brantley Gilbert and Cole Swindell text me.	
neutral,Delaware Junction #Festival with Jason Aldean Florida Georgia Line and More on August 1... $169.00 http://t.co/q6ctAuknxG #BaltimoreDeals	
neutral,Happy to see cogent views from most of the section of society. Yakub was a terrorist. Capital punishment may be a... http://t.co/G1SenGgr9S	
positive,Go through the best flip covers and back covers available for Moto G 3rd Gen  http://t.co/YYLDdP3TJP #Motorola #Smartphones #MotoG3rdGen	
neutral,Iron Maiden - Remember Tomorrow https://t.co/5NZOiLzfeg via @YouTube Tune for the day Old School Iron Maiden	
neutral,Nigeria coach Sunday Oliseh has revealed that he craves the success he has been able to achieve as player with the Super Eagles.	
negative,My biggest regret of the summer is not getting tickets for the Kenny Chesney Jason Aldean concert in KC tomorrow	
neutral,@BabyxShad rolling stone ball game bamma weed the whole 1st ringside Ep he dropped	
positive,Bad Blood now has more than 400M viewsit's Selena's 1st feature to reach this and CAGI is coming	
neutral,@Omojuwa who is that Chuck Norris? C'mon he's unknown to our generation! Why not Mr. T?#AkwaIbom #Akpabio	
positive,The best CGI in Ant-Man isn't the ant scenes. It's that 1st scene with Michael Douglas' face. #smhowzow	
negative,A month later and the library finally calls saying Paper Towns is in but still no sign of 1 of the 50 copies of the 3rd Harry Potter book	
neutral,this is the 2nd time i've gone to starbucks in my iron maiden shirt and a worker ask me my favorite album.... i don't listen to iron maiden	
neutral,Our thoughts and prayers go out to the family and friends of a Prince George man who died in a crash on Sunday.... http://t.co/g6lI37EM2i	
negative,You may oppose death penalty...you may demand justice for riot victims but none of this makes Yakub an innocent bystander.Stop this nonsense	
positive,ICYMI: The new YA coming of age story PAPER TOWNS may be a tad cliche but it finishes strong and boasts a good cast http://t.co/ZO6toJTvou	
neutral,Photos: Sunday Oliseh signs contract as new Super Eagles coach: He signed the contract moments ago. Congrats t... http://t.co/UTmlT6ZrxF	
neutral,Classic Rock Radio (Dot CO Dot UK) 31 July 2015 Paul McCartney Reissues  From the Paul McCartney newsletter I... http://t.co/gjpcTCwOk0	
positive,i am going to listen to Calibraska on repeat on my flight tomorrow	
neutral,Rolling stone watchful eye gratuity seeing that celebrating the octave of april: Wiphbdute	
positive,Rolling Stone says Blister in the Sun and the rest of the Violent Femmes debut album exploded like an over-ripe... http://t.co/AmQ8ub5vEW	
positive,@Jacksters26 Probably see Ant-Man at the cinema tomorrow. ) I hope you enjoy your tea I'm certain you will. x	
positive,Jake Jen and I will be running 6 miles from Dunkin tomorrow  come join the fun if you're ready to work. Coach J #noMoreExcuses	
neutral,This from @Gayatri__J on Yakub hanging makes some valid points. You have to think about what you dole out to others. http://t.co/rgggHY47TG	
positive,Going to see Paper Towns tomorrow... Just remembered I wanted to re-read it before seeing the film...going to crack it out now @johngreen	
negative,That Taylor Swift 'Bad Blood' may be the worst quality/budget music video I've ever watched	
positive,Forgot to thank @God &amp; @Jesus for Dean Ambrose wrestling on Monday with no shirt on. God is good. #blessed	
neutral,I think this is the first time Kris Bryant isn't batting 3rd	
positive,Great article in Rolling Stone on Rod Picott. Check it out!  I'll be interviewing Rod on the August 9th episode... http://t.co/7kJlzuCCWF	
positive,THE SUNDAY DAILY The Rock: Hulk Hogan's paid the price for racist rant: DWAYNE 'The Rock' Johnson (pix)... http://t.co/N6nBr7Dl7e #PrkDR	
neutral,the cool billionaire are freebasing while basejumping tomorrow. fools. i'll be in listening to john kasich talk about tariffs in iowa	
positive,Finally going to see ANT-MAN tonight then off to see ROGUE NATION either tomorrow or Sunday. Looking forward to both.	
neutral,We've compared the new #MotoG (3rd gen) to the Moto G (2nd gen): here's what's new https://t.co/gvwGA47gte http://t.co/vWhU0vpnFV	
positive,SO excited to see an early release of Paper Towns tomorrow and also Inside Out! Be a great day @cineworld #UnlimitedCard	
positive,Ant-man is getting good reviews might have to go watch it sunday night	
positive,Going to go see ant-man tomorrow hope it's good	
neutral,@SherylKee It's possible that to find ice cream sammich nirvana you may have to go a little more upscale than a gas station.	
neutral,Hulk Hogan isn't a racist. And if he is may God strike me dead! -Roddy Piper	
negative,Hulk Hogan may have made those racist comments but when he was in wrestlemania that was my shit!  WHAT YOU GONNA DO BROTHER!?!?	
neutral,@LiLHiLDEBRAND At 1st i thought u meant the metaphorical death of Hulk Hogan. But no way they just talked to Rowdy like 2 days ago bout him!	
positive,@FabrecIass I had high expectactions when I watched because everyone was hyping it so much I knew Ant-Man would be good after 1st trailer	
neutral,Free this week: August 3 Figure Four Weekly: Detailed look at why Gawker thinks the FBI covered for Hulk Hogan http://t.co/g1tJGi93Y4 #wwe	
neutral,Prep work before the Con tomorrow (@ Cinemagic for Ant-Man in Portsmouth NH) https://t.co/ubJOcRNfoP	
positive,This was probably the best Rowdy Roddy Piper thing ever - living in Alcatraz before fighting Hulk Hogan http://t.co/b6tszvBeFE via	
neutral,Zac Brown Band is playing Citi Field. Is that a big deal? @JoshNASCARWWE may be able to tell me if it is.	
neutral,@xrthxr 1 at Lolla. 1 headline show tomorrow night at a Chicago venue associated with Lolla + an acoustic set for Rolling Stone in afternoon	
positive,July 31 2015 The man that carried Hulk Hogan to be a star. Piper was the best talker in the business http://t.co/7tbAm3Uw1y	
negative,Nah. 1st Hulk Hogan is an open bigot 2nd Meek Mill trashed the Undertaker music and now another legend has died. https://t.co/I9C3ZiBbWa	
positive,@sroarke_nhl I recall an  insane 80s Friday Night WWF classic where he hobbled with crutches into another match to help rival Hulk Hogan.	
neutral,@RingsideC @R_Roddy_Piper that when he went to hulk hogan party on Monday night #RAW 8/11/14	
neutral,Hey Time Out Chicago Paul McCartney didn't write Here Comes the Sun.	
positive,There may or may not be real tears when Paul McCartney takes the stage	
positive,I liked a @YouTube video http://t.co/bpr5pcje2G Stephanie McMahon Batista and Randy Orton argue about WrestleMania: Raw March 24	
neutral,Someone come see Ant-Man with me tomorrow.	
positive,May I be excused? To do what? So I can watch Sharknado? ... Thank you for being honest. My 11-year-old sister is cooler than me.	
neutral,Sometimes it may get bad but remember you're never that dude that would skip Paul McCartney for The Weeknd and all is well again	
neutral,Brother related or  brother like Hulk Hogan uses it? Careful w/ your answer we know how that turned out for Hulk. https://t.co/aCfh4VSMyV	
neutral,Beltre leads off the 3rd with a single. One on no out for Josh Hamilton.	
positive,SNAP!: ANT-MAN Even with this being my 2nd time seeing it Ant-Man still blew me away. Best solo Marvel film yet. #Truth	
positive,Seeing Ant-man for the 2nd time (@ AMC North Point Mall 12 - @amctheatres for Ant-Man in Alpharetta GA) https://t.co/Cq4u1kX4GM	
positive,Is there anyone out there that wants to go with me to the Kenny Chesney Jason Aldean concert tomorrow for free!?!?!?	
neutral,@asthefairiesare Yeah Z wants to go  see  it and I told them  go  for it i pass. Paper Towns  is playing but I'd rather read the  book 1st	
positive,Paul McCartney you are amazing but tiredness beats out everything. See you tomorrow @lollapalooza.	
negative,Boko Haram may have just killed 2000 people: 'Killing went on and on and on' http://t.co/1fa2j1pbWq	
negative,Ronda Rousey lose please  lose Saturday night. I don't like her. She talked grimy about my dude Floyd Mayweather.	
neutral,http://t.co/iDJfcWrJyl #music PAUL McCARTNEY (the Beatles)Original Concert Ticket (23 sept 1993)	
neutral,are you going to see Kendrick Lamar just because of Bad Blood tomorrow cause he's not gonna sing it Ally -my friend who's perfectly right	
neutral,Lollapalooza 2015 day one: Paul McCartney is in a feisty mood: Reports from Friday day one at Lollapalooza in... http://t.co/FINOcycuOP	
neutral,Checking out some Paul McCartney with other skrubs who didn't buy Friday passes #Lollapalooza http://t.co/0M0pjvu9PZ	
positive,Just updated my iPod with 20 new songs (Pentatonix Cascada Zac Brown Band &amp; Big Bang). Inspirational stuff. Hope it'll help for tomorrow.	
positive,No better way to end the night than with Paul McCartney. Until tomorrow! #goodnightlolla #Lollapalooza http://t.co/i2lVqgM6Ml	
positive,Lithium may just be my favorite Nirvana song oat	
positive,@Braxwolf We're going to see Ant-Man tomorrow. I figured it would seem even better in comparison after watching this. :)	
positive,Friday random ten: Revisiting the Rolling Stone 500 Greatest Songs list part 6: It's a good song ... http://t.co/hyQAq5DPmX #reggaenews	
neutral,Brewers offense continues to struggle. Ryan Braun accounts for only run with a 1st inning HR. It's a final from Miller Park. Cubs 4 Mil 1.	
positive,You can sell your soul to the devil but your ass belongs to Brock Lesnar..@HeymanHustle...may just be the greatest ever to pick up a mic	
neutral,@KanersEnforcer Mets have had a rough stretch. They NEEDED a win like that. Kinda sorta their equivalent of the Kris Bryant Monday walkoff.	
positive,seeing Paul McCartney sing Blackbird live tonight may or may not be the highlight of my life so far	
neutral,I've just kind of sat here for an hour doing nothing but listening to Bad Blood on repeat this is normal	
positive,A3: This was probably a LONG time ago. Insurgent maybe? And meh. I am going to see Paper Towns on Sunday though!  #rqwn	
positive,Motorola appears to have got it right yet again for the 3rd time with the Moto G Gen. 3 http://t.co/cG7QnN3zZg	
neutral,There was a strong case for giving a lifer to Yakub. But the arguments about his crucial role in the blasts may be flawed but not flimsy.	
positive,Literally 5th row Paul McCartney you are phenomenal	
positive,Hearing Paul McCartney live was absolutely incredible. I'm glad I wasn't in the crowd but I sat by the lake instead which was amazing.	
positive,1st day of #Lolla - amazing. Paul McCartney floored me. Not sure any moment in my life will match Let it Be live. http://t.co/aGo8gxVvs7	
positive,Paul McCartney playing as the sun sets in Chicago was definitely one of the most beautiful things I've ever witnessed ok	
positive,Paul McCartney did not disappoint the 4th time.  #Legendofmusic https://t.co/r0jq7u8yIL	
neutral,#Brewers Ryan Braun homers in 1st #Brewers blanked rest of the way in 4-1 loss to #Cubs; 8th L in last 10 games #CHCvsMIL	
positive,Due to me watching Paper Towns tomorrow I made it my goal to read the book today. I finished it in approximately 10 hours. #ExcitedAF	
neutral,Detailed look at why Gawker thinks the FBI may have covered for Hulk Hogan: http://t.co/bYEuv3UG0I	
positive,Of course I'm coming! Writer is going to see Ant-Man tomorrow but I know I will at least see ya!~	
neutral,Meanwhile u r fighting over useless topics Yakub's Angels has been assigned he's finished doing 16 n 17th dancing on baby doll @TimesNow	
neutral,Well  http://t.co/68hIay5W8x had a decent Tuesday opening at the box office.  Will it beat Ant-Man over the weekend? http://t.co/DakcMBeWaX	
positive,#FCFILMMEDIA Moto G (3rd Generation) : A Perfect Smartphone: Moto G the most liking brand name by youth comi... http://t.co/rXnW9iIm1p	
neutral,#Brewers Ryan Braun hit his 19th home run of the season at the bottom of the first. #MLB	
neutral,The Indian Express draws Flak for July 31 Headline on Yakub: One of the leading Dailies of India The Indian E... http://t.co/XZZr1ltkF4	
positive,Saturday movie reviews: Ant-man is fun &amp; light http://t.co/hFOCj2Lv60 while Woman in Gold is tugs at the heart http://t.co/ZOzkRfq58y	
neutral,It's my 6th year on Kpop scene so maybe i know some things that you don't know dear.	
neutral,Yakub the lone death row convict in the Mumbai blasts case was hanged in Nagpur Central Prison on Thursday.  http://t.co/sPRI48m0MB	
positive,Okay so I'm going to be able to cross off 3 Legend bands/artist from my Bucket List.. AC/DC Paul McCartney and tomorrow Metallica! #Legends	
neutral,@TheSanjayGandhi May the policy is correct.NDA should have done Yakub body too.	
positive,That was a day..... Paul McCartney may be the best Lolla set I've ever seen	
negative,@Swamy39 I 2nd your word 'PRESTITUTE' for our press the way they covered Yakub case vs Ntnl Hero Kalam #shame @ravishndtv @dibang @BDUTT	
neutral,Metal Gear Solid 5 the Phantom Pain and Iron Maiden's Book of Souls will drop September 5th http://t.co/HCtiHlalem	
positive,@RajivMakhni Moto G (3rd Gen) have all the super power that i really want in a smartphone !! #MyMotoG	
positive,Might just have to go see Ant-man tomorrow	
positive,Its a Saturday what better way to spend the evening than to see an advanced showing of Paper Towns 3 weeks... http://t.co/p0IeUPseA6	
neutral,Just starting to watch Sharknado 4 the 1st time. Craptacular already. Cc @beerlytweeting @hadyngreen	
positive,Won king of the ring 2nd place and I got Randy Orton card. http://t.co/HAfRAxwAPy	
neutral,Interesting... Lollapalooza 2015 Friday Recap: The Weeknd Grooves Paul McCartney Plays the Hits... With ...: ... http://t.co/ocp4zXQNMb	
positive,The Book of Souls sounds like it's going to be everything we love about Iron Maiden. Can't wait for sept 4th! https://t.co/g6LuMJdMrg	
negative,Monday: I know that since the activities of Boko Haram are all against humanity God will soon expose them. Their end is near.	
negative,@_sabanaqvi btw yakub was a good terrorist !! may he never rest in peace ..	
neutral,@BustedOpenRadio since everyone has made the comparisonI think Dean Ambrose should wear a Hot Rod shirt on Monday Night Raw @WWE	
neutral,See you August 5th in Prince George  http://t.co/PdHv6uPKGc	
neutral,Government acted humanely in Yakub's hanging ensured peace: RSS: New Delhi: The RSS on Saturday said the hang... http://t.co/pRK9tYPi3R	
positive,The price creep is real but the 3rd generation @Motorola Moto G is a huge step forward http://t.co/ujKE7k8WVh	
positive,Whatever happens I'm going to watch Paper Towns tomorrow. I can't miss this movie.	
negative,Hulk Hogan picked the wrong time to be an ass the 1st class of WWE wrestlers are dying off like flies around a zapper #RIPRoddyPiper	
neutral,@cineworld Hello is the 1830 screening of Paper Towns just for Unlimited card holders? I notice the release date is 21 Aug? Thanks	
positive,Since 2013 Danny Valencia is the 21st best hitter vs LHP in baseball tied with Ryan Braun. Better than Adrian Beltre. @BennisSnet	
negative,@arunvipra @mediacrooks @_sabanaqvi is wrong: Dr APJ the ex-President passed on July 27; Yakub the terrorist was hanged till death on Jul 30	
positive,After Monday's match against Seth Rollins John Cena has officially earned my respect. Wrestling with a broken nose. Just... Wow!!!	
negative,3 time going into this dunkin cause they can't figure out my order. Also they wouldn't accept my coupon that expires in October.	
neutral,[THENET] Sunday Oliseh launches vlog on Super Eagles updates: Chief coach of the Super Eagles of Nigeria Sund... http://t.co/Mv5N9OAAii	
positive,When Dunkin' Donuts actually get your order right on a Saturday morning you know it's going to be a good day	
positive,Just realized I don't miss you that much.  The sun is out. Nothing is better than today. I have reached nirvana. I think I need to pee.	
neutral,@apinx_x @YouTube true this is like the 2nd kdrama i watched...was quiet popular in my country too And I wasn't even into kpop at that time	
positive,'Rowdy' Roddy Piper wrestler known for rivalry with Hulk Hogan dies at 61 - Washington Post: Chicago Sun-Tim... http://t.co/dW0fcwTJ2n	
positive,i was internally screaming when i heard the intro to Fourth Of July in Paper Towns	
neutral,Noah's 3 fav songs in order: 1) the Imperial March 2) Bad Blood (why does she need bandaids?) 3) Shake Your Booty	
neutral,Why Christmas and not Holiday? Us Jews (and perhaps Muslims) might want to know?  https://t.co/WAvF4bitVN	
positive,@TaraReid  Never had a need for Twitter. Then Sharknado made the public responsible for April's life. Hope to see you in Sharknado 4.	
positive,We're howling with our new friends at Swaders Sports Park in Prince George for their 9th birthday celebration!... http://t.co/A71vOSGJJq	
neutral,@TheEconomist Well Paul McCartney Isabella Rossellini Rafaela Carra and I were all born on June 18th and what does this tell about us?	
neutral,@treblebeth no like I saw Ant-Man last week watched WHAS on Thursday the show yesterday AND HIS FACE DID NOT CHANGE	
positive,Paid my bills bought some groceries did a bit of price-shopping on some clothes and bought my ticket for Ant-Man later tonight. #Saturday	
positive,Sharknado 3 may have just slid its way into my top 5 movies	
positive,Was going to wait and start Go Set a Watchman on the plane tomorrow but I don't think I can wait that long.	
negative,Daring Jrn'sm yes @arunjaitley fumbled @sardesairajdeep is not with Yakub or agst Babu/may but for all mass killers  https://t.co/eYzXZ0pX54	
negative,Anup Surendranath quieted Supreme Court job after Yakub's death he may Quit India after Daud is Hanged by Supreme Court of India	
positive,A happy fun loving Saturday 2 the wonderful @TaraReid true CHAMPION of Sharknado films an always shows the love 2 everyone across the world	
negative,George Osborne got away with his Big Lie. Brace yourselves for the real cuts   http://t.co/kJSiHuO1V5	
positive,@absoluteradio can you play some Iron Maiden for me while I'm stuck at work on a Saturday night!	
negative,Leftist communists want it rewritten to show Yakub as an innocent saviour unlike what was originally written!   https://t.co/upxML7XfCg	
neutral,Selling 2 tickets to Zac Brown Band at Fenway August 9. 70$ each seats are on the field. Let me know	
positive,@FB_BMB I went to see Mission Impossible Rouge Nation today I really enjoyed it. Have u seen it? I might go see Ant-Man tomorrow?	
negative,@guardian Boko Haram fighters slit the throats of 10 fishermen in Africa on Thursday; no mention from you.  Jericho OK though so happy days	
positive,Lavalantula is genuinely better than Pixels. I have laughed so may more times and not at it but with it. The guy from Sharknado showed up	
neutral,Just Turned the corner into Ghetto n #Roma 1st thing I saw a group of Muslims! Now that's tourism for ya. It's a sm world after all #peace	
positive,@SurlyNurseJoy New Iron Maiden album on the 4th of September~ Has their longest eversong on it which is why that reminded me.	
positive,It's the first of August and started off good with Ant-Man.	
positive,@MissWhit83 If you were told you were going to lose to Floyd Mayweather in the 5th round you'd be rightly concerned about the first 4 rounds	
positive,@CharlesHeffer Probs my 3rd fav old band U2 VU and JA. The Smiths 4th. Nirvana in there too if you can count them	
neutral,Who's better Paul McCartney or John Lennon? Get the facts from #MickRock: http://t.co/zJNUbycNF2 - #OnTheRecord premieres Sunday 8 ET/5 PT	
neutral,https://t.co/3FqKZb8ci2 Paul McCartney served as Lollapalooza's headliner Friday night in Chicago and the... http://t.co/pw5Bosm9H5	
positive,I do claim Brock Lesnar as one of the best UFC fighters ever because he is the 2nd person EVER to win the title in only his 4th pro fight.	
positive,Honestly I'm liking Kendrick's Bad Blood verses a lot more now. May be able to elevate the song to being really good to me.	
positive,Spent the last hour listening to Van Halen can't believe I've not listened before! Tomorrow it will be Iron Maiden. Holiday tunes sorted.	
neutral,Nirvana - All Apologies https://t.co/8WyNBpjZ97   #RadioBaro  In the sun...	
positive,@XFilesNews doing a #XF3DayHiatus watch over the weekend! Sat Bad Blood Sun Arcadia Mon PMP all at 8pm EST - join in the fun!	
positive,I would say Ant-Man is probably my favorite movie of the year so far with MI: Rogue Nation at a very close 2nd	
neutral,Govt acted humanely in  Yakub's hanging: RSS: New Delhi1 Aug 2015The RSS today said the hanging of 1993 Mumbai... http://t.co/4q2vGCdjvx	
neutral,Kris Bryant lines out to LF to end the Top of the 1st stranding runners on 1st &amp; 2nd with no score between the #Cubs &amp; Brewers	
positive,Totally worth watching Nirvana's 1st interview w/ MTV if only for @KristNovoselic's banter towards the end. https://t.co/9cbfD8OzcW	
neutral,Buhari vows to defeat Boko Haram by December.  President Muhammadu Buhari yesterday declared that the... http://t.co/kRkbQOlJRp	
neutral,The fact Ben and I might see Paper Towns together may make us gay.	
neutral,changing my name to Dustin Johnson because that's what just happened on the 18th #CHOKE #GameOfThrows	
positive,Someone go see Zac Brown Band with me September 12!!	
positive,@death_spells oh!! Maybe pride tomorrow? Or metro?? I rlly wanna go to that Asian place with Kpop stuff...	
negative,It would appear that Muslims may be many and good but Islam is a philosophy of hate. I see nothing to make me think otherwise. God help them	
neutral,Still hungover and what not with no plans on this Saturday evening so this means I should see Paper Towns again right?	
positive,Good article on the ins and outs of Josh Hamilton's contract.#RSM337 http://t.co/QbmSwr4gJG	
neutral,@danileekelley  A podcast/TV show of interest to you may be @ReligionEthics; they report on Xians Jews Muslims etc. They're very fair.	
neutral,If I told you on April 1 that Josh Hamilton and Cole Hamels would be in the starting lineup on August 1. How much would you have laughed?	
